Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
659,168,96.7376,1758.49,0,34374.7,-8.25206E+06,0,-2.71016E+06,273.15,0,24.3463,628.829,0,0,0,1.20473E-06,0
660,169,99.5635,1840.62,0,32280,-8.20825E+06,0,-1.57104E+06,273.15,0,24.348,628.775,0,0,0,1.20473E-06,0
661,170,614.382,253.991,0,289123,-5.83438E+06,0,-5.36556E+06,273.15,0,23.3653,3900.44,0,0,0,1.20473E-06,0
662,171,449.983,108.586,0,564385,-1.53403E+06,0,1.76198E+07,273.15,0,38.666,79843.7,0,0,0,1.20473E-06,0
663,164,559.755,1915.83,0,21339.5,-7.92176E+06,0,-630649,273.15,0,23.6084,517.255,0,0,0,1.20473E-06,0
664,165,724.414,1844.82,0,31105.5,-7.98861E+06,0,-1.53583E+06,273.15,0,25.4287,1920.06,0,0,0,1.20473E-06,0
665,166,647.925,1923.27,0,27837.9,-7.94088E+06,0,-578631,273.15,0,23.8918,635.447,0,0,0,1.20473E-06,0
666,167,250.004,1923.19,0,29327.2,-7.81458E+06,0,-521336,273.15,0,24.2909,755.798,0,0,0,1.20473E-06,0
667,160,232.052,683.925,0,999216,-7.97373E+06,0,-1.43229E+07,273.15,0,24.9978,2687.77,0,0,0,1.20473E-06,0
668,161,593.383,1254.37,0,428139,-7.28332E+06,0,-2.52173E+06,273.15,0,22.5253,663.258,0,0,0,1.20473E-06,0
669,162,180.629,1268.67,0,-124918,-7.49454E+06,0,-2.57491E+06,273.15,0,22.8515,595.408,0,0,0,1.20473E-06,0
670,163,721.183,1764.64,0,31949.6,-8.03124E+06,0,-2.6388E+06,273.15,0,25.217,1778.67,0,0,0,1.20473E-06,0
671,156,865.35,390.883,0,2.7465E+06,-7.27292E+06,0,-1.93003E+07,273.15,0,27.7376,5310.65,0,0,0,1.20473E-06,0
672,157,706.043,138.724,0,2.09043E+06,-3.0353E+06,0,1.38958E+06,273.15,0,30.5762,44163.1,0,0,0,1.20473E-06,0
673,158,871.816,294.101,0,2.21988E+06,-6.76228E+06,0,-1.67551E+07,273.15,0,25.5901,4272.96,0,0,0,1.20473E-06,0
674,159,676.942,757.085,0,423124,-8.08046E+06,0,-1.57001E+07,273.15,0,23.8871,2671.17,0,0,0,1.20473E-06,0
675,152,34.8013,1961.44,0,16337.5,-8.47913E+06,0,-159519,273.15,0,24.9476,909.658,0,0,0,1.20473E-06,0
676,153,85.8505,211.158,0,-20639.9,-7.30169E+06,0,-1.71401E+07,273.15,0,34.8142,17351.2,0,0,0,1.20473E-06,0
677,154,177.544,74.4731,0,-1.72955E+06,400044,0,1.6671E+07,273.15,0,54.8951,108576,0,0,0,1.20473E-06,0
678,155,82.3135,129.084,0,-377983,-5.27658E+06,0,-7.00662E+06,273.15,0,41.8351,47357,0,0,0,1.20473E-06,0
679,148,979.377,452.106,0,1.79906E+06,-7.34643E+06,0,-2.25077E+07,273.15,0,32.3463,11465.2,0,0,0,1.20473E-06,0
680,149,940.449,67.7343,0,-91406.2,1.59943E+06,0,1.74211E+07,273.15,0,92.2035,186717,0,0,0,1.20473E-06,0
681,150,756.998,1969.57,0,-27883.4,-7.97233E+06,0,-144536,273.15,0,26.9639,4982.04,0,0,0,1.20473E-06,0
682,151,965.139,31.8967,0,71912.8,181509,0,1.69138E+07,273.15,0,65.2681,106850,0,0,0,1.20473E-06,0
683,144,522.908,1553.93,0,30834.8,-7.90285E+06,0,-4.94019E+06,273.15,0,23.0925,519.098,0,0,0,1.20473E-06,0
684,145,232.624,354.145,0,1.68096E+06,-7.00456E+06,0,-1.02428E+07,273.15,0,26.93,4156.65,0,0,0,1.20473E-06,0
685,146,262.029,1558.51,0,69907.3,-7.75029E+06,0,-4.65294E+06,273.15,0,23.5643,607.06,0,0,0,1.20473E-06,0
686,147,39.3877,26.9009,0,-77764.8,1.97644E+06,0,2.30256E+07,273.15,0,38.6914,110629,0,0,0,1.20473E-06,0
687,140,460.179,211.65,0,255090,-5.71427E+06,0,-6.45091E+06,273.15,0,24.0579,6074.33,0,0,0,1.20473E-06,0
688,141,608.329,504.797,0,186968,-7.42795E+06,0,-1.29147E+07,273.15,0,23.7803,1857.78,0,0,0,1.20473E-06,0
689,142,236.504,856.971,0,500360,-7.85774E+06,0,-1.04696E+07,273.15,0,23.837,1972.44,0,0,0,1.20473E-06,0
690,143,433.114,989.47,0,345098,-7.92976E+06,0,-1.22024E+07,273.15,0,22.8985,1710.25,0,0,0,1.20473E-06,0
691,136,774.648,283.638,0,2.12035E+06,-6.95917E+06,0,-1.58433E+07,273.15,0,24.4314,4108.82,0,0,0,1.20473E-06,0
692,137,387.637,1276.12,0,113353,-6.81841E+06,0,-503195,273.15,0,22.5397,633.835,0,0,0,1.20473E-06,0
693,138,653.059,1828.05,0,31326.6,-7.97565E+06,0,-1.80464E+06,273.15,0,23.9225,663.598,0,0,0,1.20473E-06,0
694,139,166.652,1823.83,0,36302.1,-8.08402E+06,0,-1.8325E+06,273.15,0,24.2198,600.414,0,0,0,1.20473E-06,0
695,132,0,89.4282,0,0,-3.42679E+06,0,-1.14152E+06,273.15,0,49.3218,75306.2,0,0,0,1.20473E-06,0
696,133,0,44.9963,0,0,311905,0,2.13651E+07,273.15,0,58.8785,134711,0,0,0,1.20473E-06,0
697,134,0,22.4982,0,0,-93992.7,0,2.21145E+07,273.15,0,41.61,88853.8,0,0,0,1.20473E-06,0
698,135,167.582,155.511,0,-592421,-5.48331E+06,0,-6.69213E+06,273.15,0,36.8777,33093.2,0,0,0,1.20473E-06,0
699,128,0,267.156,0,0,-8.00132E+06,0,-1.97594E+07,273.15,0,34.4034,13757.5,0,0,0,1.20473E-06,0
700,129,0,222.724,0,0,-7.63547E+06,0,-1.92411E+07,273.15,0,35.2882,16382.1,0,0,0,1.20473E-06,0
701,130,0,178.292,0,0,-6.951E+06,0,-1.64988E+07,273.15,0,37.3457,23594.8,0,0,0,1.20473E-06,0
702,131,0,133.86,0,0,-5.80384E+06,0,-1.01034E+07,273.15,0,41.5327,40205.7,0,0,0,1.20473E-06,0
703,252,130.33,1789.65,0,35951.6,-8.16372E+06,0,-2.31535E+06,273.15,0,24.2409,594.681,0,0,0,1.20473E-06,0
704,253,33.319,1705.34,0,26507.7,-8.56903E+06,0,-3.32723E+06,273.15,0,24.6195,779.062,0,0,0,1.20473E-06,0
705,254,167.446,1955.98,0,42520.7,-8.00907E+06,0,-197548,273.15,0,24.285,608.636,0,0,0,1.20473E-06,0
706,255,165.299,1872.03,0,38957.7,-8.0546E+06,0,-1.17729E+06,273.15,0,24.2554,605.396,0,0,0,1.20473E-06,0
707,248,259.973,1961.33,0,29069.1,-7.73479E+06,0,-148565,273.15,0,24.2711,763.852,0,0,0,1.20473E-06,0
708,249,413.538,1922.52,0,11208.9,-7.45261E+06,0,-577624,273.15,0,23.5387,640.91,0,0,0,1.20473E-06,0
709,250,203.278,1856.6,0,40087.7,-7.99876E+06,0,-1.37354E+06,273.15,0,24.2482,664.393,0,0,0,1.20473E-06,0
710,251,37.418,1743.26,0,22197.8,-8.53627E+06,0,-2.87925E+06,273.15,0,24.6734,802.662,0,0,0,1.20473E-06,0
711,244,605.827,1915.34,0,25668.5,-7.93839E+06,0,-678116,273.15,0,23.6221,534.037,0,0,0,1.20473E-06,0
712,245,690.128,1890.34,0,31782.8,-7.9543E+06,0,-954112,273.15,0,24.5769,977.15,0,0,0,1.20473E-06,0
713,246,646.749,1965.53,0,27883.7,-7.93436E+06,0,-150312,273.15,0,23.8981,633.351,0,0,0,1.20473E-06,0
714,247,310.302,1956.99,0,37584.3,-7.36984E+06,0,-179958,273.15,0,23.7548,705.541,0,0,0,1.20473E-06,0
715,240,764.399,1852.64,0,-24512.5,-8.2403E+06,0,-1.54955E+06,273.15,0,27.9763,6354.13,0,0,0,1.20473E-06,0
716,241,686.307,1843.84,0,28905.6,-7.97309E+06,0,-1.60421E+06,273.15,0,24.4561,894.321,0,0,0,1.20473E-06,0
717,242,724.049,1805.11,0,32332.6,-8.01762E+06,0,-2.10002E+06,273.15,0,25.3768,1934.46,0,0,0,1.20473E-06,0
718,243,648.318,1879.52,0,29926.5,-7.95638E+06,0,-1.11214E+06,273.15,0,23.8915,646.322,0,0,0,1.20473E-06,0
719,236,686.821,1797.1,0,26815.3,-7.99403E+06,0,-2.2384E+06,273.15,0,24.4223,900.144,0,0,0,1.20473E-06,0
720,237,761.784,1769.69,0,-12769.9,-8.30468E+06,0,-2.63438E+06,273.15,0,27.7801,5649.69,0,0,0,1.20473E-06,0
721,238,525.412,1959.25,0,19330.3,-7.89209E+06,0,-194358,273.15,0,23.6572,532.068,0,0,0,1.20473E-06,0
722,239,568.426,1958.78,0,21917,-7.91354E+06,0,-197554,273.15,0,23.6288,518.88,0,0,0,1.20473E-06,0
723,232,299.499,1272.84,0,-57101.6,-6.94887E+06,0,-937745,273.15,0,22.6669,607.401,0,0,0,1.20473E-06,0
